energy-kcal_100g,energy_100g,fat_100g,carbohydrates_100g,proteins_100g
357.0,1494.0,0.0,85.71,14.29
290.0,1213.0,13.45,32.77,7.56
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
196.3294117647058,1185.8,7.1399999777476,9.36096254777144,302.35999998092655
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
17.0,71.0,0.0,3.33,0.0
500.0,2092.0,26.67,63.33,10.0
48.0,201.0,1.6,6.4,2.4
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
80.0,335.0,0.89,15.18,1.79
3.2,13.0,0.0,0.8,0.0
403.0190476190476,1535.8,28.36476190476194,27.817142857142848,2.838
605.0,2531.0,44.74,44.74,7.89
38.0,159.0,0.0,11.54,1.28
58.8235294117647,246.0,0.0,4.11764705882353,10.0
188.741176470588,1428.6,5.72398230088496,43.549019607843,13.77884169884168
45.833333333333,192.0,0.0,11.666666666667,0.0
453.850006103516,1899.0,38.4599990844727,7.69000005722046,19.2299995422363
459.0,1920.0,17.9,28.2,46.2
263.15789473684,1101.0,0.0,63.157894736842,0.0
550.0,2301.0,35.0,55.0,5.0
0.0,0.0,0.0,0.0,0.0
64.0,268.0,0.0,15.71,0.71
509.0,2130.0,36.5,38.7,4.9
126.0,527.0,4.19,16.74,5.12
66.9,280.0,0.1,15.7,0.4
289.0,1210.0,2.22,53.3,11.1
62.157221206581,260.0,1.0968921389397,11.151736745887,1.6453382084095
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
318.0,1330.0,9.09,53.0,7.58
189.0,792.0,7.14,22.1,10.4
50.0,209.0,0.0,12.5,0.0
594.0,2485.0,46.88,25.0,21.88
533.0,2230.0,46.67,26.67,20.0
300.0,1255.0,23.33,3.33,20.0
356.0,1490.0,2.22,75.56,6.67
45.045045045045,188.0,0.0,12.612612612613,0.0
321.0,1343.0,0.0,78.57,3.57
548.0,2293.0,30.95,52.38,11.9
375.0,1569.0,37.5,9.375,3.125
50.0,209.0,2.0833333333333,5.0,3.3333333333333
645.0,2699.0,64.232,32.6,3.432
278.02,1485.4,8.346,24.078,10.43399994277954
368.0,1540.0,14.04,56.14,3.51
141.59292035398,592.0,0.44247787610619,32.743362831858,1.7699115044248
248.0,1038.0,6.67,42.86,5.71
563.0,2356.0,32.6,58.8,7.7
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
600.0,2510.0,51.43,20.0,22.86
293.0,1226.0,12.14,36.43,10.0
494.62,2070.0,25.7,57.1,8.57
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
645.0,2699.0,64.232,32.6,3.432
515.4,2154.8,49.992,26.82666666666666,16.866
226.0,946.0,15.48,7.14,14.29
557.0,2330.0,36.0,49.7,5.6
388.88888888889,1627.0,0.0,94.444444444444,0.0
39.0,163.0,0.0,10.42,0.0
356.0,1490.0,0.0,82.2,6.67
368.42105263158,1541.0,10.526315789474,73.684210526316,5.2631578947368
548.38709677419,2294.0,41.935483870968,45.161290322581,9.6774193548387
295.0,1234.0,8.97,42.31,10.26
248.709156923076,1471.8,8.53068253968262,20.1848952941176,8.93023240555174
515.4,2154.8,49.992,26.82666666666666,16.866
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
515.4,2154.8,49.992,26.82666666666666,16.866
48.0,201.0,0.0,11.2,0.8
571.0,2389.0,50.0,21.43,21.43
45.0,188.0,2.0,7.0,0.200000002980232
41.0,172.0,0.0,10.66,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.3571428571429,62.5,19.642857142857
123.0,515.0,0.0,31.13,0.0
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
84.0,351.0,2.6,7.9,66.0
198.0,828.0,6.17,29.63,4.94
511.2590476190476,2037.8,43.409333333333336,14.510733590733588,36.38095238095238
200.0,837.0,19.0,6.4,1.1
625.0,2615.0,52.2,13.0,22.2
385.0,1611.0,9.62,71.15,3.85
61.4,1083.6,1.8,19.0,2.8940000023841863
515.4,2154.8,49.992,26.82666666666666,16.866
281.25,1177.0,4.6875,56.25,6.25
550.0,2301.0,45.0,0.0,35.0
316.32653061224,1324.0,10.204081632653,47.959183673469,10.204081632653
250.0,1046.0,13.64,29.55,3.41
64.0,268.0,1.2,7.2,1.6
360.0,1510.0,0.0,80.0,6.0
124.0,519.0,10.2,4.6,1.9
77.551020408163,324.0,4.0816326530612,7.7551020408163,2.0408163265306
357.0,1494.0,1.79,75.0,12.5
